advisor_id,advisor_name,team,region,tenure_band,advisor_status,leads_assigned,leads_contacted,leads_qualified,leads_converted,new_clients_acquired,calls_completed,meetings_held,follow_ups_completed,total_activities,opportunities_created,opportunities_closed_won,closed_assets,net_new_assets,ending_assets,contact_rate,advisor_conversion_rate,net_new_assets_per_converted_lead
1,Advisor 01,Acquisition,Midwest,3-5 years,Active,67,35,25,8,8,22,15,25,62,67,8,2615835.98,773775.01,41395815.81,0.5223880597014925,0.11940298507462686,96721.87625
2,Advisor 02,Acquisition,West,5+ years,Active,84,39,25,10,10,23,14,25,62,84,10,3204200.76,413846.61,32749508.62,0.4642857142857143,0.11904761904761904,41384.661
3,Advisor 03,Acquisition,Southeast,1-3 years,Active,75,51,31,13,13,31,10,40,81,75,13,7763169.67,1192010.7,109582908.89,0.68,0.17333333333333334,91693.13076923076
4,Advisor 04,Relationship Growth,West,3-5 years,Active,64,34,26,7,7,29,16,25,70,64,7,7149374.87,2282009.5,133921116.83,0.53125,0.109375,326001.35714285716
5,Advisor 05,Relationship Growth,West,5+ years,Active,76,36,27,9,9,27,15,23,65,76,9,5367265.41,1388347.67,76717535.15,0.47368421052631576,0.11842105263157894,154260.85222222222
6,Advisor 06,Retirement Specialists,Northeast,1-3 years,Active,63,42,29,11,11,28,10,26,64,63,11,6922634.52,1546163.4,87055156.9,0.6666666666666666,0.1746031746031746,140560.30909090908
7,Advisor 07,Retirement Specialists,Midwest,1-3 years,Active,67,32,24,7,7,20,14,23,57,67,7,3090435.49,735035.3,36828384.53,0.47761194029850745,0.1044776119402985,105005.04285714286
8,Advisor 08,Acquisition,West,1-3 years,Active,81,56,38,18,18,39,22,41,102,81,18,6715351.1899999995,1602773.24,118658302.85,0.691358024691358,0.2222222222222222,89042.95777777777
9,Advisor 09,Retirement Specialists,Southeast,5+ years,Active,78,49,36,11,11,36,20,36,92,78,11,2941643.94,356354.23,35084784.84,0.6282051282051282,0.14102564102564102,32395.83909090909
10,Advisor 10,Retirement Specialists,Northeast,3-5 years,Active,60,46,36,14,14,32,17,32,81,60,14,7743187.38,1299682.55,123635631.4,0.7666666666666667,0.23333333333333334,92834.46785714287
11,Advisor 11,High Value,Midwest,1-3 years,Active,81,50,37,8,8,37,23,35,95,81,8,1739014.1700000002,125022.07,15745746.34,0.6172839506172839,0.09876543209876543,15627.75875
12,Advisor 12,Retirement Specialists,Northeast,1-3 years,Active,88,58,33,14,14,42,21,43,106,88,14,10351632.39,2405465.33,152578458.14,0.6590909090909091,0.1590909090909091,171818.95214285716
13,Advisor 13,Relationship Growth,Southeast,3-5 years,Active,75,52,40,11,11,40,20,35,95,75,11,6227692.82,500071.64,42394413.26,0.6933333333333334,0.14666666666666667,45461.05818181818
14,Advisor 14,Relationship Growth,Midwest,5+ years,Active,71,52,39,11,11,36,21,39,96,71,11,5501609.07,865261.75,61290334.71,0.7323943661971831,0.15492957746478872,78660.15909090909
15,Advisor 15,Acquisition,Midwest,0-1 years,Active,83,46,31,8,8,37,18,37,92,83,8,2800422.0100000002,666692.77,39862792.58,0.5542168674698795,0.0963855421686747,83336.59625
16,Advisor 16,Retirement Specialists,Southeast,1-3 years,Active,74,44,28,8,8,30,17,31,78,74,8,1187154.95,160132.73,21796469.4,0.5945945945945946,0.10810810810810811,20016.59125
17,Advisor 17,High Value,Southeast,5+ years,Active,83,45,27,13,13,30,15,33,78,83,13,5766656.8,472912.14,31589397.85,0.5421686746987951,0.1566265060240964,36377.85692307692
18,Advisor 18,Retirement Specialists,West,5+ years,Active,63,41,22,3,3,27,15,31,73,63,3,724146.53,84101.42,10177490.92,0.6507936507936508,0.047619047619047616,28033.806666666667
19,Advisor 19,Relationship Growth,West,1-3 years,Active,87,65,54,22,22,50,35,41,126,87,22,5269833.35,682731.62,67826157.72,0.7471264367816092,0.25287356321839083,31033.255454545455
20,Advisor 20,Relationship Growth,Southeast,5+ years,Active,83,61,40,11,11,40,24,44,108,83,11,4551427.5600000005,624764.79,47269736.75,0.7349397590361446,0.13253012048192772,56796.799090909095
21,Advisor 21,High Value,West,3-5 years,Active,68,57,37,15,15,41,25,36,102,68,15,3729394.6,719100.72,52561854.17,0.8382352941176471,0.22058823529411764,47940.047999999995
22,Advisor 22,Acquisition,Northeast,3-5 years,Active,87,65,47,20,20,49,30,49,128,87,20,6470762.33,1020403.05,63786059.3,0.7471264367816092,0.22988505747126436,51020.152500000004
23,Advisor 23,Retirement Specialists,Northeast,5+ years,Active,69,46,33,9,9,32,20,35,87,69,9,452511.76,69635.48,7066795.52,0.6666666666666666,0.13043478260869565,7737.275555555555
24,Advisor 24,Retirement Specialists,Southeast,1-3 years,Active,73,60,40,23,23,44,27,44,115,73,23,15411492.92,4218629.09,261986307.1,0.821917808219178,0.3150684931506849,183418.65608695653
